"year","value","GrowthRate"
"2020","7794798739","0.0110"
"2015","7379797139","0.0119"
"2010","6956823603","0.0124"
"2005","6541907027","0.0126"
"2000","6143493823","0.0135"
"1995","5744212979","0.0152"
"1990","5327231061","0.0181"
"1985","4870921740","0.0179"
"1980","4458003514","0.0179"
"1975","4079480606","0.0197"
"1970","3700437046","0.0207"
"1965","3339583597","0.0193"
"1960","3034949748","0.0182"
"1955","2773019936","0.0180"
"1950","2536431149",""
