Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,,125.0022727,126.9113636,128.8681818,131.0022727,133.4045455,136.1704545,139.1840909,142.0931818,144.4318182,145.8568182,146.2659091,145.7568182,144.6590909,143.4545455,142.4431818,141.7431818,141.2704545,140.9909091,140.8,140.6022727,140.4545455,140.4068182,140.425,140.4227273,140.4227273,140.35,140.2659091,140.3886364,140.9272727,142.1090909,144.0159091,146.525,149.4931818,152.7363636,156.0681818,159.4840909,162.9636364,166.4181818,169.7136364,172.7636364,175.4818182,177.9431818,180.2272727,182.5818182,185.1477273,187.9636364,190.9681818,194.0840909,197.15,200.0636364,202.8477273,205.475,207.9909091,210.3681818,212.65,214.8340909,216.8772727,218.8318182,,
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,,1.364565299,1.398279161,1.425354386,1.453601135,1.482368561,1.516603101,1.535868164,1.563203728,1.596266743,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,3.24787091,,
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,,85.81132235,86.3388714,86.8952652,87.47639864,88.04660935,88.66633567,89.33153306,89.79659724,90.10722935,90.42245096,90.8268588,91.35627271,91.86382901,92.02031969,91.77649552,91.61449504,91.64967304,91.57550254,91.41953257,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.456383,100.7713458,101.0356656,101.2874302,101.6417364,102.1148654,102.7471302,103.5633242,104.7307927,105.8694934,106.6074453,107.1279669,,
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,,48.43147434,50.12708942,51.85391206,53.55500679,55.18835094,56.73748152,58.20767391,59.60599397,60.9482077,62.24717305,63.50302222,64.71349604,65.888965,67.04245527,68.18478196,69.32142471,70.45594049,71.59504669,72.74523234,73.91197712,75.09660286,76.30115241,77.53306416,78.80097817,80.10919644,81.45720225,82.83750916,84.23792014,85.64212841,86.02809522,87.37397407,88.70783406,90.06572965,91.29144071,92.34891692,93.28622538,94.19048771,95.23178903,96.52076658,97.43477998,98.19378742,98.91246693,99.62372121,100.4753702,101.5225018,102.6725292,103.8533638,106.05976,108.2912879,109.5423494,110.9763389,112.4607929,113.9234754,115.3488166,116.7310795,118.033289,119.1972058,120.2343172,,
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,,111.0762461,113.2134346,115.4371885,117.8461838,120.4976246,123.4614486,126.6829439,129.9426402,132.9401869,135.4779595,137.4609424,139.0056854,140.3865265,141.9949766,144.1152648,146.840771,150.0952103,153.7876168,157.7583333,161.8885514,166.1417445,170.55,175.1375779,179.9494938,185.0014408,190.2937305,195.7608255,201.2732866,206.6615654,211.797391,216.7027259,221.4005062,225.7808801,229.710553,233.1403037,235.9856308,238.4007009,240.8707944,244.0468847,248.3984034,254.1100078,261.0635903,269.048053,277.7139019,286.7936916,296.2558022,306.1609813,316.4369938,327.0119938,337.8349688,348.8475857,360.0462617,371.506581,383.3448988,395.6397975,408.4111371,421.6130841,435.178271,,
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199,377.3795905,,
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,,21.86827776,22.19666548,22.55107308,22.93335403,23.34476765,23.78644023,24.25777758,24.75691735,25.28078219,25.82777581,26.39741043,26.99154842,27.61329372,28.26722242,28.95676658,29.68404576,30.44908656,31.25166726,32.09051082,32.96528024,33.87839659,34.83251153,35.82785562,36.86430472,37.94342852,39.06089039,40.22049486,41.44068819,42.74579638,44.15125931,45.66778113,47.28452465,48.9691646,50.67594892,52.37280951,54.04628414,55.70804363,57.38085314,59.09984037,60.88995211,62.75924973,64.69842143,66.69523767,68.73008159,70.78950869,72.87067222,74.98042746,77.12771373,79.32518624,81.58264455,83.90235899,86.28279532,88.72461866,91.22775807,93.79169918,96.41776339,99.10610145,101.8539198,,
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,,17.88954678,18.12984649,18.37653874,18.63629386,18.91399854,19.21185307,19.52857822,19.86126096,20.20531433,20.55774854,20.9187902,21.29083699,21.67574196,22.07617325,22.49468202,22.93142178,23.38792032,23.86995249,24.3847076,24.93729167,25.53055556,26.16321272,26.83079313,27.5264693,28.24527412,28.98645468,29.7517288,30.54205044,31.35900219,32.20407164,33.0777924,33.98067617,34.91402047,35.87934211,36.87820906,37.91207968,38.98225877,40.0903655,41.23794225,42.4266886,43.65711623,44.93092105,46.25226974,47.62634868,49.0567617,50.54523392,52.09072003,53.69051535,55.34027047,57.03661184,58.77891447,60.56741959,62.40049342,64.27637792,66.19380117,68.15196637,70.15089181,72.19128289,,
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,,379.2182761,389.8913498,401.0294768,412.8579243,425.4829223,439.1000538,453.5165476,467.9915034,481.5223554,493.4507337,503.4311516,511.8360989,519.6092033,528.0958208,538.2676577,550.4523392,564.3664746,579.6268879,595.5984098,611.8114082,628.1594453,644.7885611,661.7691864,679.2388492,697.274203,715.8915495,734.9709073,754.2932319,773.5691557,792.5939617,811.2401245,829.5590689,847.7424829,866.0803795,884.7655374,903.8175617,923.1048936,942.4814857,961.7396558,980.7010371,999.3754475,1017.731321,1035.504364,1052.365614,1068.107129,1082.593278,1095.954337,1108.582369,1121.032473,1133.713068,1146.760221,1160.081486,1173.578213,1187.064354,1200.401598,1213.573327,1226.631274,1239.579312,,
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,,71.79895146,72.43013649,73.01947935,73.61782518,74.15861882,74.64572901,75.11729187,75.65400886,76.23765706,76.73844346,77.16166501,77.52146796,77.92612311,78.44838651,78.82800325,79.17019796,79.58223809,79.67126458,79.77890265,80.10065082,80.36804664,80.60613758,80.80753864,80.99682726,80.9956341,80.9741571,81.09336527,81.18454307,80.24018801,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.3957516,72.03272978,71.48411327,70.95310776,70.4986377,69.97166529,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,65.18005711,64.71109985,,
